,_id,likes,dislikes,skiped,status,isUser,type,review,rating,request_time,user_id,vendor_id,restaurant_id,review_id,comment,createdAt,updatedAt,__v,event_request_id,event_id,order_id,diner_id,diner_request_id,item_id,transactional_id,experienceId,expRequestId
0,{'$oid': '60bb79ba6dcadb0291efa089'},"[{'$oid': '60b75e256dcadb0291ef799c'}, {'$oid': '615d8b7cf041e877962e75ef'}]",[],False,True,True,0,Nice,4.0,{'$date': '2021-06-05T13:18:49.415Z'},{'$oid': '60b75e256dcadb0291ef799c'},{'$oid': '60bb4d116dcadb0291ef99b2'},{'$oid': '60bb4d136dcadb0291ef99b3'},850960,"[{'like': [], 'dislike': [], '_id': {'$oid': '6188e9c2e891e030e68cddeb'}, 'message': '...', 'user_details': {'$oid': '615d8b7cf041e877962e75ef'}, 'createdAt': {'$date': '2021-11-08T09:11:30.427Z'}}]",{'$date': '2021-06-05T13:18:50.434Z'},{'$date': '2021-11-08T09:11:30.428Z'},0,,,,,,,,,
1,{'$oid': '60c1d0bd6761af7a699b8314'},[],[],False,True,False,0,good food,5.0,{'$date': '2021-06-10T08:43:41.329Z'},{'$oid': '60b8667b6dcadb0291ef7eaa'},{'$oid': '60b9c0ba6dcadb0291ef85e3'},{'$oid': '60b9c0bb6dcadb0291ef85e4'},922797,[],{'$date': '2021-06-10T08:43:41.381Z'},{'$date': '2021-06-10T08:43:41.381Z'},0,,,,,,,,,
2,{'$oid': '60c70cd36761af7a699b8908'},"[{'$oid': '62948154887823d0f06f8fb9'}, {'$oid': '62a890b622b2cb0a68d275c9'}]",[{'$oid': '61ea42a6e1f09a4163a9beb3'}],False,True,False,0,Nice,3.5,{'$date': '2021-06-14T08:01:25.732Z'},{'$oid': '60c1e8556761af7a699b831c'},{'$oid': '60befdb955111642138655a5'},{'$oid': '60befdba55111642138655a6'},249452,"[{'like': [{'$oid': '62bc0cf39b1807b69f143915'}, {'$oid': '62a890b622b2cb0a68d275c9'}], 'dislike': [], '_id': {'$oid': '6295b5a8a591c5e8e45052e3'}, 'message': 'Better', 'user_details': {'$oid': '61ea42a6e1f09a4163a9beb3'}, 'createdAt': {'$date': '2022-05-31T06:28:56.931Z'}}]",{'$date': '2021-06-14T08:01:23.910Z'},{'$date': '2022-09-22T05:40:00.248Z'},0,,,,,,,,,
3,{'$oid': '60c9be94c31b6d65f77a9011'},[],[],False,True,True,2,Very nice ,4.0,{'$date': '2021-06-16T09:04:19.113Z'},{'$oid': '60c1ad6a6761af7a699b8302'},{'$oid': '60b872186dcadb0291ef7ed3'},{'$oid': '60b8721a6dcadb0291ef7ed4'},819832,"[{'like': [], 'dislike': [], '_id': {'$oid': '618cdb959b8ff65f00f2bf85'}, 'message': 'Test', 'user_details': {'$oid': '60f5570dbd6f937c77037cd0'}, 'createdAt': {'$date': '2021-11-11T09:00:05.959Z'}}, {'like': [], 'dislike': [], '_id': {'$oid': '61ab6b604707f1054f156043'}, 'message': 'Nice', 'user_details': {'$oid': '61a893df11c81d6ab41961a7'}, 'createdAt': {'$date': '2021-12-04T13:21:36.750Z'}}]",{'$date': '2021-06-16T09:04:20.353Z'},{'$date': '2021-12-04T13:21:36.751Z'},0,{'$oid': '60c9b5e1c31b6d65f77a8f3d'},{'$oid': '60bb44dd6dcadb0291ef982f'},,,,,,,
4,{'$oid': '60dee2691ba27d6c597333eb'},[{'$oid': '60cdcc8a04d62d1510bafc0f'}],[],False,True,True,0,Lai bhari,5.0,{'$date': '2021-07-02T09:54:49.976Z'},{'$oid': '60cdcc8a04d62d1510bafc0f'},{'$oid': '60d9659a52f4960844d625f7'},{'$oid': '60d9659b52f4960844d625f9'},830215,"[{'like': [], 'dislike': [], '_id': {'$oid': '60dee2ae1ba27d6c597333ec'}, 'message': 'Kadak', 'user_details': {'$oid': '60cdcc8a04d62d1510bafc0f'}, 'createdAt': {'$date': '2021-07-02T09:55:58.901Z'}}]",{'$date': '2021-07-02T09:54:49.932Z'},{'$date': '2021-07-02T10:02:45.442Z'},0,,,,,,,,,
5,{'$oid': '60dfde101ba27d6c59733880'},[{'$oid': '60dab36352f4960844d6345c'}],[],False,True,True,3,"Good 
",3.0,{'$date': '2021-07-03T03:48:32.078Z'},{'$oid': '60dfa43e1ba27d6c59733859'},{'$oid': '60b7435e6dcadb0291ef7868'},{'$oid': '60b743606dcadb0291ef7869'},411427,[],{'$date': '2021-07-03T03:48:32.917Z'},{'$date': '2022-02-21T10:17:21.879Z'},0,,,{'$oid': '60dfa78e1ba27d6c59733861'},,,,,,
6,{'$oid': '60e5b27abed7a530afe08640'},[],[],False,True,True,3,Ugh,4.0,{'$date': '2021-07-07T13:56:10.694Z'},{'$oid': '60dab36352f4960844d6345c'},{'$oid': '60b73c376dcadb0291ef775a'},{'$oid': '60b73c386dcadb0291ef775b'},447075,[],{'$date': '2021-07-07T13:56:10.788Z'},{'$date': '2021-07-07T13:56:10.788Z'},0,,,{'$oid': '60e592e2bed7a530afe06fbc'},,,,,,
7,{'$oid': '60e5d09abed7a530afe088b9'},[],[],False,True,True,1,Nice,5.0,{'$date': '2021-07-07T16:04:41.467Z'},{'$oid': '6262345cc9bbaa9547e1d5d5'},{'$oid': '60d9659a52f4960844d625f7'},{'$oid': '60d9659b52f4960844d625f9'},215961,[],{'$date': '2021-07-07T16:04:42.463Z'},{'$date': '2021-07-07T16:04:42.463Z'},0,,,,{'$oid': '60e5cfb6bed7a530afe0888e'},758860.0,,,,
8,{'$oid': '60e69d50bed7a530afe09414'},[],[],False,True,False,0,Excellent Food!,5.0,{'$date': '2021-07-08T06:38:04.893Z'},{'$oid': '60c377d76761af7a699b8561'},{'$oid': '60d2e18571033e58044d17af'},{'$oid': '60d2e18771033e58044d17b0'},6844,[],{'$date': '2021-07-08T06:38:08.557Z'},{'$date': '2021-07-08T06:38:08.557Z'},0,,,,,,,,,
9,{'$oid': '60e6a363bed7a530afe09447'},[],[],False,True,True,3,,5.0,{'$date': '2021-07-08T07:04:02.644Z'},{'$oid': '60e5702bbed7a530afe06c47'},{'$oid': '60b7435e6dcadb0291ef7868'},{'$oid': '60b743606dcadb0291ef7869'},66924,[],{'$date': '2021-07-08T07:04:03.473Z'},{'$date': '2021-07-08T07:04:03.473Z'},0,,,{'$oid': '60e6a34dbed7a530afe0943f'},,,,,,
